Table,Ave_C_Mean,Ave_C_RMS
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.028534482758620732,0.002308349627413081
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.028658008658008695,0.002324800273956283
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.02834978843441474,0.0020753087404177914
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.0,0.0
"""110_sec_buf""",0.016666666666666666,0.016666666666666666
"""110_sec_buf""",0.026039536468984322,0.002730059222154161
"""110_sec_buf""",0.024999999999999998,0.010015420209622192
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.007276995305164316,0.0012084072935430751
"""110_sec_build_perm""",0.002105263157894737,0.002105263157894737
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.00687679083094556,0.003138811217794648
"""110_sec_build_perm""",0.007276995305164316,0.0012084072935430751
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.027734097358050457,0.00026029095662825994
"""110_sec_build_perm""",0.0,0.0
"""110_sec_build_perm""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.39999999999999997,0.21908902300206642
"""110_sec_income""",0.04,0.04
"""110_sec_income""",0.04,0.04
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.027085995085994942,0.0010922806085071118
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.04,0.04
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_income""",0.0,0.0
"""110_sec_pub_lib""",0.028638954539135206,0.0013212405806219067
"""110_sec_pub_lib""",0.028143392188336017,0.0014806147729992667
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.029293100525512806,0.0014825028722885518
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.028143392188336017,0.0014806147729992667
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.017600964436407456,0.0020670799517157603
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.028769580294152695,0.0012350354020017097
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.02857142857142859,0.0015417377843984052
"""110_sec_pub_lib""",0.0,0.0
"""110_sec_pub_lib""",0.017600964436407456,0.0020670799517157603
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.04,0.04
"""115_sec_buf""",0.03931034482758632,0.002809339782206947
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.04,0.04
"""115_sec_buf""",0.039220779220779295,0.0028228295042252954
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.04160789844851916,0.0026273534570094657
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.0,0.0
"""115_sec_buf""",0.03333333333333333,0.03333333333333333
"""115_sec_buf""",0.034901158827539254,0.0031445296781651747
"""115_sec_buf""",0.027777777777777776,0.013028932666176194
"""115_sec_build_perm""",0.009090909090909092,0.009090909090909092
"""115_sec_build_perm""",0.008333333333333326,0.0012253880879002997
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.006153846153846154,0.006153846153846154
"""115_sec_build_perm""",0.009742120343839542,0.002977737778055376
"""115_sec_build_perm""",0.008333333333333326,0.0012253880879002997
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.041578004903707264,0.00031795853922407714
"""115_sec_build_perm""",0.0,0.0
"""115_sec_build_perm""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.39999999999999997,0.21908902300206642
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.03984275184275133,0.001300420631510413
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_income""",0.0,0.0
"""115_sec_pub_lib""",0.043125260670095596,0.001640955003996053
"""115_sec_pub_lib""",0.040948813982521697,0.0017813434619844888
"""115_sec_pub_lib""",0.04,0.04
"""115_sec_pub_lib""",0.04207492795389026,0.0017620324068738857
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.040948813982521697,0.0017813434619844888
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.030741410488245986,0.002777991228885569
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.04273586033719914,0.001507015927699452
"""115_sec_pub_lib""",0.02,0.02
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.04298994498197671,0.0019058802284005873
"""115_sec_pub_lib""",0.0,0.0
"""115_sec_pub_lib""",0.030741410488245986,0.002777991228885569
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0021551724137931034,0.0006275956801103896
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.002164502164502165,0.0006303125445264518
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0027503526093088865,0.000687362083554934
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0,0.0
"""11_sec_buf""",0.0028629856850715747,0.0009543285616905248
"""11_sec_buf""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0005868544600938967,0.0003892752101356103
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.00171919770773639,0.0009925792593517922
"""11_sec_build_perm""",0.0005868544600938967,0.0003892752101356103
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.002807790848232693,8.26983136253611e-05
"""11_sec_build_perm""",0.0,0.0
"""11_sec_build_perm""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.36,0.21540659228538014
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.002810810810810809,0.00035652790461360287
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_income""",0.0,0.0
"""11_sec_pub_lib""",0.0033643820380925868,0.00043521412046429935
"""11_sec_pub_lib""",0.0031389334760121256,0.00046507596969521314
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0030513646380742492,0.0004648689337447734
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0031389334760121256,0.00046507596969521314
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0013261000602772756,0.00046690576807804907
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.003156761927537962,0.00038561558045192146
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0033390248529690737,0.0005090649920318247
"""11_sec_pub_lib""",0.0,0.0
"""11_sec_pub_lib""",0.0013261000602772756,0.00046690576807804907
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.011465517241379296,0.0014450909150207072
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.011688311688311678,0.0014565024970788502
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.012905500705218613,0.0014121991815585877
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.0,0.0
"""15_sec_buf""",0.012406271301976813,0.0017512246187682524
"""15_sec_buf""",0.002777777777777778,0.002777777777777778
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0032863849765258223,0.0009091510202364828
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.00343839541547278,0.0019851585187035843
"""15_sec_build_perm""",0.0032863849765258223,0.0009091510202364828
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.013932064244194142,0.0001847580960151003
"""15_sec_build_perm""",0.0,0.0
"""15_sec_build_perm""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.39999999999999997,0.21908902300206642
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.013287469287469317,0.0007515697019874245
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_income""",0.0,0.0
"""15_sec_pub_lib""",0.015264840817461461,0.0010151611991396441
"""15_sec_pub_lib""",0.014267879436418787,0.0010866093248958653
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.013900661129004952,0.0010537562480366185
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.014267879436418787,0.0010866093248958653
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.011693791440626879,0.0017344779469485425
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.01528159751285429,0.0009345174546253677
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.05,0.05
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.01536710301650543,0.0011564978678905824
"""15_sec_pub_lib""",0.0,0.0
"""15_sec_pub_lib""",0.011693791440626879,0.0017344779469485425
